label,contour_area,perimeter,texture_0,texture_1,texture_2,texture_3,texture_4,texture_5,texture_6,texture_7,texture_8,vein_structure,size,hue,saturation,value
Aashaalim  (38),1.0,4.0,0,16,0,612,0,1437,0,579,47532,48.661212531887756,50176,0.0,0.0,58.312141262755105
Aashaalim  (39),0.0,2.0,0,36,0,769,0,1230,0,716,47425,57.47359295280612,50176,0.0,0.0,44.798808195153065
Aashaalim  (40),3345.0,476.0,0,24,0,574,0,1915,0,610,47053,51.29374601403061,50176,0.0,0.0,63.20621412627551
Aashaalim  (41),3.0,8.0,4,111,0,2151,0,3828,0,2305,41777,153.57631138392858,50176,0.0,0.0,112.54334741709184
Aashaalim  (42),11326.5,574.0416300296783,0,27,0,63,0,1066,0,45,48975,14.936324139030612,50176,0.0,0.0,119.35337611607143
Aashaalim  (43),9.0,12.828427076339722,0,45,0,1337,0,2303,0,1353,45138,101.40844228316327,50176,0.0,0.0,108.18797831632654
Aashaalim  (44),59.5,33.55634891986847,0,9,0,1127,0,2398,0,1296,45346,92.62655452806122,50176,0.0,0.0,164.2792370854592
Aashaalim  (45),20.0,17.656854152679443,1,116,0,2489,0,5129,0,2988,39453,189.61864237882654,50176,0.0,0.0,167.0540696747449
Aashaalim  (46),0.0,2.0,1,57,0,2229,0,4135,0,2571,41183,163.99463887117346,50176,0.0,0.0,178.40750558035714
Aashaalim  (47),49729.0,892.0,0,21,0,650,0,1804,0,657,47044,49.87075494260204,50176,0.0,0.0,162.63771524234693
Aashaalim  (48),49729.0,892.0,0,9,0,342,0,1632,0,393,47800,30.90431680484694,50176,0.0,0.0,152.04659598214286
Aashaalim  (49),0.5,3.414213538169861,0,25,0,597,0,1104,0,561,47889,47.62954400510204,50176,0.0,0.0,43.40630978954081
Aashaalim  (50),0.0,0.0,1,160,0,2162,0,4033,0,2382,41438,154.30305325255102,50176,0.0,0.0,111.10002790178571
Aashaalim  (52),57.0,43.79898929595947,0,40,0,939,0,2022,0,899,46276,75.21016023596938,50176,0.0,0.0,78.58468191964286
Aashaalim  (53),0.0,0.0,1,46,0,938,0,2066,0,919,46206,80.95294563137755,50176,0.0,0.0,77.55301339285714
Aashaalim  (54),0.0,2.0,0,36,0,769,0,1230,0,716,47425,57.47359295280612,50176,0.0,0.0,44.798808195153065
Aashaalim  (55),0.0,0.0,1,171,0,2291,0,4262,0,2500,40951,165.2194276147959,50176,0.0,0.0,114.23060825892857
Aashaalim  (56),5.0,11.656854152679443,0,82,0,1715,0,3636,0,2166,42577,132.0281608737245,50176,0.0,0.0,144.83508051658163
Acacia jacquemontii Benth (1),3454.5,533.0121924877167,0,2,0,64,0,597,0,99,49414,10.57079081632653,50176,0.0,0.0,18.1380540497449
Acacia jacquemontii Benth (11),7.5,21.41421353816986,0,51,0,1275,0,2869,0,1512,44469,102.17584103954081,50176,0.0,0.0,138.60949457908163
Acacia jacquemontii Benth (12),0.0,2.0,0,80,0,1492,0,3234,0,1812,43558,118.11842315051021,50176,0.0,0.0,128.65363919005102
Acacia jacquemontii Benth (13),112.5,46.72792184352875,0,26,0,997,0,2509,0,1074,45570,86.21801259566327,50176,0.0,0.0,169.31560905612244
Acacia jacquemontii Benth (14),0.0,2.0,2,60,0,605,0,1150,0,631,47728,43.863699776785715,50176,0.0,0.0,58.94740513392857
Acacia jacquemontii Benth (15),3415.0,484.2842707633972,0,24,0,518,0,1551,0,554,47529,47.1467434630102,50176,0.0,0.0,92.14883609693878
Acacia jacquemontii Benth (17),8.0,12.828427076339722,0,66,0,1435,0,3056,0,1670,43949,113.73256138392857,50176,0.0,0.0,126.48357780612245
Acacia jacquemontii Benth (18),692.5,146.12489008903503,0,25,0,751,0,1964,0,798,46638,67.58699378188776,50176,0.0,0.0,74.97638313137755
Acacia jacquemontii Benth (19),49729.0,892.0,0,35,0,655,0,2021,0,645,46820,53.758569834183675,50176,0.0,0.0,216.56399473852042
Acacia jacquemontii Benth (20),12147.0,895.3523744344711,0,54,0,1174,0,2369,0,1212,45367,81.27311862244898,50176,0.0,0.0,158.27726403061226
Acacia jacquemontii Benth (21),1.5,5.414213538169861,0,27,0,1001,0,2237,0,979,45932,70.54478236607143,50176,0.0,0.0,198.12609614158163
Acacia jacquemontii Benth (22),49729.0,892.0,0,7,0,509,0,1591,0,523,47546,38.125996492346935,50176,0.0,0.0,201.80554448341837
Acacia jacquemontii Benth (23),49687.5,905.07106757164,0,5,0,529,0,1776,0,536,47330,45.32734773596939,50176,0.0,0.0,168.78706951530611
Acacia jacquemontii Benth (24),49729.0,892.0,0,13,0,575,0,1824,0,572,47192,41.03296396683673,50176,0.0,0.0,217.84468670280611
Acacia jacquemontii Benth (25),3.0,8.828427076339722,1,32,0,1125,0,2040,0,1156,45822,87.51903300382654,50176,0.0,0.0,106.84630102040816
Acacia jacquemontii Benth (26),195.5,73.69848418235779,0,61,0,1406,0,2298,0,1516,44895,104.86935985331633,50176,0.0,0.0,94.41545758928571
Acacia jacquemontii Benth (27),3.0,8.828427076339722,1,32,0,1125,0,2040,0,1156,45822,87.51903300382654,50176,0.0,0.0,106.84630102040816
Acacia jacquemontii Benth (28),195.5,73.69848418235779,0,61,0,1406,0,2298,0,1516,44895,104.86935985331633,50176,0.0,0.0,94.41545758928571
Acacia jacquemontii Benth (29),0.0,4.0,0,78,0,2065,0,4274,0,2378,41381,159.0802375637755,50176,0.0,0.0,147.8030333227041
Acacia jacquemontii Benth (30),49729.0,892.0,0,7,0,509,0,1591,0,523,47546,38.125996492346935,50176,0.0,0.0,201.80554448341837
Acacia jacquemontii Benth (31),49729.0,892.0,0,5,0,389,0,1620,0,390,47772,34.62950414540816,50176,0.0,0.0,175.00249123086735
Acacia jacquemontii Benth (32),49729.0,892.0,0,7,0,337,0,1572,0,340,47920,31.234654017857142,50176,0.0,0.0,160.46257174744898
Acacia jacquemontii Benth (33),3.0,8.828427076339722,1,32,0,1125,0,1991,0,1162,45865,86.60933514030613,50176,0.0,0.0,106.64301658163265
Acacia jacquemontii Benth (34),6860.0,780.6173108816147,1,29,0,621,0,1488,0,672,47365,47.64987244897959,50176,0.0,0.0,64.52248086734694
Acacia jacquemontii Benth (35),38530.5,1117.8893901109695,0,9,0,541,0,1789,0,535,47302,45.916872608418366,50176,0.0,0.0,168.90904017857142
Acacia jacquemontii Benth (36),49729.0,892.0,0,2,0,332,0,1558,0,372,47912,30.899234693877553,50176,0.0,0.0,222.15939891581633
Acacia jacquemontii Benth (37),49729.0,892.0,0,2,0,491,0,2100,0,487,47096,50.91766980229592,50176,0.0,0.0,167.0540696747449
Acacia jacquemontii Benth (38),49729.0,892.0,0,6,0,479,0,1632,0,499,47560,39.01028380102041,50176,0.0,0.0,210.66366390306123
Acacia jacquemontii Benth (39),3.5,9.41421353816986,0,111,0,1599,0,2935,0,1618,43913,120.55275430484694,50176,0.0,0.0,129.9495774872449
Acacia jacquemontii Benth (40),2.5,10.242640614509583,0,15,0,879,0,1803,0,947,46532,67.50568000637755,50176,0.0,0.0,111.25249123086735
Acacia jacquemontii Benth (41),12121.5,891.9381601810455,0,52,0,1140,0,2374,0,1187,45423,79.98734454719387,50176,0.0,0.0,156.45786830357142
Acacia jacquemontii Benth (42),22.5,25.899494647979736,0,117,0,1519,0,3199,0,1596,43745,110.27164381377551,50176,0.0,0.0,133.0191725127551
Acacia jacquemontii Benth (43),49729.0,892.0,0,12,0,486,0,1760,0,496,47422,43.76205755739796,50176,0.0,0.0,168.15688775510205
Akarkara  (1),498.5,117.0121921300888,1,11,0,348,0,671,0,366,48779,27.504384566326532,50176,0.0,0.0,45.413743622448976
Akarkara  (10),242.0,81.25483298301697,2,46,0,792,0,1286,0,768,47282,55.0341796875,50176,0.0,0.0,59.28282445790816
Akarkara  (11),0.0,0.0,1,13,0,349,0,670,0,366,48777,27.79914700255102,50176,0.0,0.0,45.37816884566327
Akarkara  (12),967.0,144.9116872549057,0,8,0,105,0,270,0,97,49696,7.953503667091836,50176,0.0,0.0,15.495356345663266
Akarkara  (13),498.5,117.0121921300888,1,11,0,348,0,671,0,366,48779,27.504384566326532,50176,0.0,0.0,45.413743622448976
Akarkara  (14),242.0,81.25483298301697,2,46,0,792,0,1286,0,768,47282,55.0341796875,50176,0.0,0.0,59.28282445790816
Akarkara  (15),20.0,20.485281109809875,0,14,0,223,0,443,0,188,49308,17.568857621173468,50176,0.0,0.0,22.457848373724488
Akarkara  (16),134.5,79.21320307254791,0,17,0,744,0,1306,0,765,47344,57.83442283163265,50176,0.0,0.0,85.62848772321429
Akarkara  (17),1150.5,178.12488973140717,1,24,0,664,0,1476,0,760,47251,58.64247847576531,50176,0.0,0.0,77.66990194515306
Akarkara  (18),0.0,0.0,1,13,0,349,0,670,0,366,48777,27.79914700255102,50176,0.0,0.0,45.37816884566327
Akarkara  (19),0.0,0.0,0,0,0,0,0,0,0,0,50176,0.0,50176,0.0,0.0,0.0
Akarkara  (2),0.0,0.0,3,88,0,1267,0,2408,0,1320,45090,88.92169563137755,50176,0.0,0.0,74.31062659438776
Akarkara  (20),243.5,79.8406195640564,1,45,0,772,0,1305,0,755,47298,54.62252869897959,50176,0.0,0.0,59.308235012755105
Akarkara  (21),24.0,38.97056245803833,0,25,0,432,0,685,0,413,48621,33.87226961096939,50176,0.0,0.0,39.54390545280612
Akarkara  (22),497.5,117.0121922492981,0,15,0,342,0,679,0,364,48776,27.880460778061224,50176,0.0,0.0,45.36800462372449
Akarkara  (23),0.0,2.0,0,17,0,352,0,631,0,366,48810,27.382413903061224,50176,0.0,0.0,46.460658482142854
Akarkara  (24),3.0,8.0,0,48,0,1402,0,2658,0,1494,44574,109.04685507015306,50176,0.0,0.0,96.73798230229592
Akarkara  (25),0.0,2.0,0,14,0,356,0,665,0,374,48767,27.646683673469386,50176,0.0,0.0,45.545878507653065
Akarkara  (26),967.0,144.9116872549057,0,8,0,105,0,270,0,97,49696,7.953503667091836,50176,0.0,0.0,15.495356345663266
Akarkara  (27),0.0,4.0,0,23,0,586,0,2201,0,686,46680,54.27694515306123,50176,0.0,0.0,109.64654416454081
Akarkara  (28),242.0,81.25483298301697,2,46,0,792,0,1286,0,768,47282,55.0341796875,50176,0.0,0.0,59.28282445790816
Akarkara  (29),20.0,20.485281109809875,0,14,0,223,0,443,0,188,49308,17.568857621173468,50176,0.0,0.0,22.457848373724488
Akarkara  (3),3.0,8.828427076339722,0,14,0,348,0,654,0,353,48807,27.346839126275512,50176,0.0,0.0,46.68427136479592
Akarkara  (30),498.5,117.0121921300888,1,11,0,348,0,671,0,366,48779,27.504384566326532,50176,0.0,0.0,45.413743622448976
Akarkara  (31),134.5,79.21320307254791,0,17,0,744,0,1306,0,765,47344,57.83442283163265,50176,0.0,0.0,85.62848772321429
Akarkara  (32),20.0,20.485281109809875,0,14,0,223,0,443,0,188,49308,17.568857621173468,50176,0.0,0.0,22.457848373724488
Akarkara  (33),11.5,14.242640614509583,0,15,0,180,0,301,0,173,49507,13.869080835459183,50176,0.0,0.0,12.781509088010203
Akarkara  (34),49729.0,892.0,0,29,0,489,0,2311,0,527,46820,52.945432079081634,50176,0.0,0.0,127.55082110969387
Akarkara  (4),0.0,6.0,0,9,0,95,0,198,0,66,49808,7.26741868622449,50176,0.0,0.0,6.474609375
Akarkara  (5),11.5,14.242640614509583,0,15,0,180,0,301,0,173,49507,13.869080835459183,50176,0.0,0.0,12.781509088010203
Akarkara  (6),0.0,2.0,0,61,0,1152,0,2067,0,1165,45731,87.79854910714286,50176,0.0,0.0,92.28097098214286
Akarkara  (7),1.5,5.414213538169861,1,22,0,210,0,365,0,139,49439,14.631397480867347,50176,0.0,0.0,9.14779974489796
Akarkara  (8),0.0,0.0,1,14,0,203,0,335,0,187,49436,14.860092474489797,50176,0.0,0.0,12.893315529336734
Akarkara  (9),0.0,2.0,1,21,0,393,0,693,0,390,48678,31.951231664540817,50176,0.0,0.0,40.245236766581634
Akarkara,0.0,0.0,3,86,0,1223,0,2375,0,1288,45201,87.60542889030613,50176,0.0,0.0,73.59913105867346
Arka (24),14.5,18.242640614509583,0,9,0,295,0,1075,0,273,48524,33.216677295918366,50176,0.0,0.0,140.7744738520408
Arka (35),17.0,32.97056245803833,0,7,0,319,0,853,0,309,48688,25.202188297193878,50176,0.0,0.0,205.96271125637756
Alethi  (1),0.5,3.414213538169861,0,90,0,1781,0,3752,0,2140,42413,138.3299784757653,50176,0.0,0.0,132.51096141581633
Alethi  (10),1.0,4.828427076339722,0,89,0,1338,0,2434,0,1371,44944,101.50500239158163,50176,0.0,0.0,84.5459980867347
Alethi  (11),39.5,27.071067690849304,1,25,0,1235,0,2463,0,1373,45079,97.67309072066327,50176,0.0,0.0,133.2275390625
Alethi  (12),5.0,11.656854152679443,0,21,0,598,0,1853,0,864,46840,52.41689253826531,50176,0.0,0.0,215.1511678890306
Alethi  (13),0.0,0.0,1,187,0,2483,0,5037,0,2970,39498,184.83129384566325,50176,0.0,0.0,141.30301339285714
Alethi  (14),13.0,14.828427076339722,0,44,0,940,0,2040,0,927,46225,73.8735650510204,50176,0.0,0.0,158.55678013392858
Alethi  (15),39.5,27.071067690849304,0,36,0,1238,0,2503,0,1367,45032,99.10116390306122,50176,0.0,0.0,133.62394371811226
Alethi  (16),1.0,4.828427076339722,0,48,0,1192,0,2045,0,1152,45739,87.66133211096938,50176,0.0,0.0,62.103396045918366
Alethi  (17),13.0,14.828427076339722,0,44,0,940,0,2040,0,927,46225,73.8735650510204,50176,0.0,0.0,158.55678013392858
Alethi  (18),5.5,9.41421353816986,0,54,0,1543,0,3117,0,1756,43706,122.37723214285714,50176,0.0,0.0,130.42729591836735
Alethi  (19),7.0,17.656854152679443,1,78,0,1692,0,3168,0,1857,43380,129.89875637755102,50176,0.0,0.0,121.07112962372449
Alethi  (2),11.5,29.41421353816986,0,71,0,1570,0,2674,0,1569,44292,114.3424147002551,50176,0.0,0.0,99.88889110331633
Alethi  (20),0.0,2.0,0,69,0,1786,0,3330,0,1907,43084,136.92731584821428,50176,0.0,0.0,120.04962531887755
Alethi  (21),19.0,26.82842707633972,1,24,0,1219,0,2280,0,1250,45402,96.9920878507653,50176,0.0,0.0,118.23531170280613
Alethi  (22),19.0,26.82842707633972,1,24,0,1219,0,2280,0,1250,45402,96.9920878507653,50176,0.0,0.0,118.23531170280613
Alethi  (23),11.5,29.41421353816986,0,71,0,1570,0,2674,0,1569,44292,114.3424147002551,50176,0.0,0.0,99.88889110331633
Alethi  (24),5.5,10.242640614509583,1,62,0,1658,0,3129,0,1834,43492,124.56762197066327,50176,0.0,0.0,131.6927415497449
Alethi  (25),0.0,0.0,1,62,0,1321,0,2692,0,1371,44729,102.18092315051021,50176,0.0,0.0,96.51436941964286
Alethi  (26),0.0,0.0,4,106,0,1821,0,3297,0,1891,43057,136.06335698341837,50176,0.0,0.0,106.2110371492347
Alethi  (27),19.0,26.82842707633972,1,24,0,1219,0,2280,0,1250,45402,96.9920878507653,50176,0.0,0.0,118.23531170280613
Alethi  (28),7.0,11.656854152679443,0,139,0,2397,0,4327,0,2580,40733,171.76010443239795,50176,0.0,0.0,122.66183035714286
Alethi  (29),5.0,8.828427076339722,1,56,0,1409,0,3027,0,1589,44094,113.87994260204081,50176,0.0,0.0,124.21695631377551
Alethi  (3),48368.0,1218.333040714264,0,40,0,1083,0,2960,0,1369,44724,90.5225605867347,50176,0.0,0.0,200.57567362882654
Alethi  (30),27.5,33.55634891986847,0,107,0,1765,0,3455,0,1962,42887,134.96053890306123,50176,0.0,0.0,108.81816007653062
Alethi  (31),6.0,10.828427076339722,1,40,0,1280,0,2547,0,1359,44949,98.87755102040816,50176,0.0,0.0,112.91434151785714
Alethi  (32),0.0,2.0,3,43,0,690,0,1288,0,658,47494,46.33868781887755,50176,0.0,0.0,41.41412228954081
Alethi  (34),48119.5,1326.7422016859055,0,51,0,1237,0,3362,0,1747,43779,105.03706951530613,50176,0.0,0.0,193.5318678252551
Alethi  (35),5.0,8.828427076339722,1,56,0,1409,0,3027,0,1589,44094,113.87994260204081,50176,0.0,0.0,124.21695631377551
Alethi  (4),9.0,12.828427076339722,0,44,0,1333,0,2653,0,1402,44744,102.69929846938776,50176,0.0,0.0,116.37017697704081
Alethi  (5),2.0,6.828427076339722,1,46,0,1153,0,1977,0,1170,45829,88.12888632015306,50176,0.0,0.0,74.5850605867347
Alethi  (6),5.5,10.242640614509583,1,62,0,1658,0,3129,0,1834,43492,124.56762197066327,50176,0.0,0.0,131.6927415497449
Alethi  (7),2.5,7.414213538169861,0,47,0,1299,0,2262,0,1382,45186,98.4506536989796,50176,0.0,0.0,107.44090800382654
Alethi  (8),5.5,10.242640614509583,1,62,0,1658,0,3129,0,1834,43492,124.56762197066327,50176,0.0,0.0,131.6927415497449
Alethi  (9),7.0,17.656854152679443,1,78,0,1692,0,3168,0,1857,43380,129.89875637755102,50176,0.0,0.0,121.07112962372449
Aloevera (1),49729.0,892.0,0,1,0,293,0,1266,0,294,48322,22.564572704081634,50176,0.0,0.0,197.57214604591837
Aloevera (11),14047.5,980.7422018051147,0,7,0,518,0,1806,0,511,47334,46.69951769770408,50176,0.0,0.0,187.0216836734694
Aloevera (12),49729.0,892.0,0,0,0,267,0,1040,0,267,48602,15.693558673469388,50176,0.0,0.0,224.619140625
Aloevera (13),49729.0,892.0,0,2,0,265,0,1274,0,265,48370,21.421097735969386,50176,0.0,0.0,189.02911750637756
Aloevera (14),49729.0,892.0,0,0,0,102,0,1294,0,102,48678,13.904655612244898,50176,0.0,0.0,239.66218909438774
Aloevera (15),49729.0,892.0,0,1,0,87,0,1255,0,87,48746,13.025450414540817,50176,0.0,0.0,222.84040178571428
Aloevera (16),49729.0,892.0,0,1,0,260,0,1151,0,296,48468,17.767059948979593,50176,0.0,0.0,223.60780054209184
Aloevera (17),49729.0,892.0,0,1,0,87,0,1255,0,87,48746,13.025450414540817,50176,0.0,0.0,222.84040178571428
Aloevera (18),44600.0,846.0,0,2,0,321,0,1259,0,322,48272,30.045440051020407,50176,0.0,0.0,176.45597496811226
Aloevera (19),49729.0,892.0,0,1,0,90,0,1209,0,90,48786,11.81590800382653,50176,0.0,0.0,240.69893973214286
Aloevera (20),49729.0,892.0,0,0,0,246,0,1096,0,246,48588,16.222098214285715,50176,0.0,0.0,223.18598533163265
Aloevera (21),49729.0,892.0,0,2,0,265,0,1276,0,265,48368,21.410933514030614,50176,0.0,0.0,189.0850207270408
Aloevera (22),49729.0,892.0,0,0,0,150,0,1264,0,144,48618,16.1458665497449,50176,0.0,0.0,219.29817044005102
Aloevera (23),49729.0,892.0,0,0,0,247,0,1094,0,247,48588,16.2271803252551,50176,0.0,0.0,222.9928651147959
Aloevera (24),35424.0,1799.969689130783,0,3,0,418,0,1203,0,416,48136,28.017677774234695,50176,0.0,0.0,184.16553730867346
Aloevera (25),49729.0,892.0,0,1,0,305,0,1247,0,305,48318,22.59506536989796,50176,0.0,0.0,197.94314014668367
Aloevera (26),7405.0,464.7350639104843,0,5,0,504,0,1359,0,498,47810,36.72841597576531,50176,0.0,0.0,140.3679049744898
Aloevera (27),14047.5,980.7422018051147,0,7,0,518,0,1806,0,511,47334,46.69951769770408,50176,0.0,0.0,187.0216836734694
Aloevera (28),49729.0,892.0,0,7,0,356,0,1583,0,360,47870,32.022381218112244,50176,0.0,0.0,213.1691446109694
Aloevera (29),49729.0,892.0,0,5,0,279,0,1279,0,279,48334,22.117346938775512,50176,0.0,0.0,172.2073301977041
Aloevera (30),49729.0,892.0,0,3,0,225,0,1224,0,226,48498,18.692004145408163,50176,0.0,0.0,179.28162866709184
Aloevera (31),49729.0,892.0,0,0,0,102,0,1294,0,102,48678,13.904655612244898,50176,0.0,0.0,239.66218909438774
Aloevera (32),49729.0,892.0,0,0,0,28,0,1218,0,28,48902,9.335837850765307,50176,0.0,0.0,241.08518016581633
Aloevera (33),49729.0,892.0,0,1,0,90,0,1209,0,90,48786,11.81590800382653,50176,0.0,0.0,240.69893973214286
Aloevera (34),49729.0,892.0,0,3,0,462,0,1627,0,462,47622,37.998943718112244,50176,0.0,0.0,182.31056680484693
Aloevera (35),49729.0,892.0,0,0,0,250,0,1020,0,250,48656,14.402702487244898,50176,0.0,0.0,224.92406728316325
Aloevera (36),49729.0,892.0,0,0,0,204,0,1140,0,208,48624,15.205676020408163,50176,0.0,0.0,226.06246014030611
Aloevera (37),49729.0,892.0,0,0,0,305,0,1248,0,305,48318,22.554408482142858,50176,0.0,0.0,197.82116948341837
Aloevera (38),49729.0,892.0,0,1,0,260,0,1151,0,296,48468,17.767059948979593,50176,0.0,0.0,223.60780054209184
Aloevera (39),49729.0,892.0,0,1,0,218,0,1085,0,218,48654,14.595822704081632,50176,0.0,0.0,234.9968112244898
Aloevera (40),0.5,3.414213538169861,0,31,0,491,0,1221,0,575,47858,45.05799585459184,50176,0.0,0.0,133.98477359693877
Aloevera (41),1.5,9.41421353816986,0,31,0,464,0,1681,0,690,47310,45.32734773596939,50176,0.0,0.0,167.07439811862244
Aloevera (42),49729.0,892.0,0,2,0,228,0,1107,0,227,48612,15.703722895408163,50176,0.0,0.0,217.1433553890306
Aloevera (43),49729.0,892.0,0,0,0,222,0,1116,0,222,48616,15.444535235969388,50176,0.0,0.0,218.0174784757653
Aloevera (44),2385.0,582.6173108816147,0,14,0,438,0,965,0,445,48314,38.66978236607143,50176,0.0,0.0,43.421556122448976
Amaranthus viridis  (1),101.0,95.94112491607666,0,11,0,654,0,1476,0,691,47344,49.50992506377551,50176,0.0,0.0,183.12878667091837
Amaranthus viridis  (10),49729.0,892.0,0,4,0,249,0,1355,0,260,48308,22.671297034438776,50176,0.0,0.0,207.8888313137755
Amaranthus viridis  (11),49729.0,892.0,0,8,0,286,0,1419,0,303,48160,25.273337850765305,50176,0.0,0.0,195.87980309311226
Amaranthus viridis  (12),15230.0,1231.6366437673569,0,9,0,525,0,1639,0,521,47482,42.867606026785715,50176,0.0,0.0,137.51684072066325
Amaranthus viridis  (13),154.5,89.69848430156708,0,38,0,1032,0,2278,0,1150,45678,88.82005341198979,50176,0.0,0.0,150.908203125
Amaranthus viridis  (14),0.0,2.0,0,23,0,774,0,1800,0,891,46688,67.45994100765306,50176,0.0,0.0,162.18032525510205
Amaranthus viridis  (15),154.5,89.69848430156708,0,38,0,1032,0,2278,0,1150,45678,88.82005341198979,50176,0.0,0.0,150.908203125
Amaranthus viridis  (16),349.0,112.42640590667725,0,38,0,978,0,2081,0,1095,45984,83.05693957270408,50176,0.0,0.0,112.86352040816327
Amaranthus viridis  (17),6.5,10.242640614509583,0,19,0,742,0,2036,0,759,46620,67.31764190051021,50176,0.0,0.0,168.5431281887755
Amaranthus viridis  (18),1.0,4.0,0,35,0,862,0,1734,0,891,46654,68.46619897959184,50176,0.0,0.0,98.71492346938776
Amaranthus viridis  (19),0.0,0.0,1,27,0,1066,0,2061,0,1128,45893,84.15467554209184,50176,0.0,0.0,135.6415417729592
Amaranthus viridis  (2),0.0,0.0,1,27,0,1066,0,2061,0,1128,45893,84.15467554209184,50176,0.0,0.0,135.6415417729592
Amaranthus viridis  (20),3.5,9.41421353816986,0,8,0,712,0,1422,0,752,47282,52.03065210459184,50176,0.0,0.0,185.11589205994898
Amaranthus viridis  (21),49729.0,892.0,0,5,0,342,0,1452,0,349,48028,28.327686543367346,50176,0.0,0.0,206.25747369260205
Amaranthus viridis  (22),33761.5,1770.2224305868149,0,2,0,285,0,1367,0,282,48240,25.339405293367346,50176,0.0,0.0,175.78005420918367
Amaranthus viridis  (23),101.0,98.76955187320709,0,13,0,614,0,1452,0,659,47438,49.647142059948976,50176,0.0,0.0,185.80197704081633
Amaranthus viridis  (24),5.5,10.242640614509583,0,18,0,768,0,1644,0,798,46948,64.79691485969387,50176,0.0,0.0,146.3038105867347
Amaranthus viridis  (25),0.0,0.0,1,81,0,1674,0,2949,0,1724,43747,120.66964285714286,50176,0.0,0.0,129.10086495535714
Amaranthus viridis  (26),49729.0,892.0,0,2,0,191,0,1154,0,191,48638,15.205676020408163,50176,0.0,0.0,172.66472018494898
Amaranthus viridis  (27),49729.0,892.0,0,0,0,251,0,1106,0,251,48568,16.608338647959183,50176,0.0,0.0,161.60604671556123
Amaranthus viridis  (28),49729.0,892.0,0,0,0,193,0,1126,0,193,48664,14.453523596938776,50176,0.0,0.0,181.22299505739795
Amaranthus viridis  (29),49729.0,892.0,0,0,0,209,0,1122,0,209,48636,15.231086575255102,50176,0.0,0.0,179.0071946747449
Amaranthus viridis  (3),91.5,53.55634891986847,0,12,0,543,0,1512,0,548,47561,44.854711415816325,50176,0.0,0.0,208.29540019132654
Amaranthus viridis  (30),49729.0,892.0,0,1,0,218,0,1129,0,218,48610,15.795200892857142,50176,0.0,0.0,165.82419882015307
Amaranthus viridis  (31),49729.0,892.0,0,0,0,245,0,1134,0,245,48552,17.111467633928573,50176,0.0,0.0,164.4012077487245
Amaranthus viridis  (32),49729.0,892.0,0,0,0,213,0,1108,0,213,48642,14.976981026785714,50176,0.0,0.0,179.01227678571428
Amaranthus viridis  (33),49729.0,892.0,0,0,0,232,0,1094,0,232,48618,15.378467793367347,50176,0.0,0.0,176.77614795918367
Amaranthus viridis  (34),49729.0,892.0,0,0,0,209,0,1124,0,209,48634,15.215840242346939,50176,0.0,0.0,172.79177295918367
Amaranthus viridis  (35),2.0,6.0,0,13,0,497,0,1039,0,502,48125,40.443439094387756,50176,0.0,0.0,96.47879464285714
